WD23NM,box,PD_ID,PD_Name,Con,Reform,LD,Green,Lab,Right,Left
Witney East,W43,JE2,2 WitE JE2 (Wit East 2),0.2715,0.1023,0.4728,0.0288,0.1246,0.3738,0.1534
Bampton and Clanfield,W9,FE,5 B&C FE (Bampton),0.2993,0.1024,0.4646,0.0787,0.0551,0.4016,0.1339
"Hailey, Minster Lovell and Leafield",W28,GO,7 HMLL GO (Hailey),0.3390,0.1017,0.4610,0.0238,0.0746,0.4407,0.0983
Thames,V13,TRE,1 Tham TRE (Longworth),0.3125,0.0989,0.4844,0.0156,0.0886,0.4114,0.1041
"Standlake, Aston and Stanton Harcourt",W35,HT,4 SASH HT (Standlake),0.3153,0.0983,0.4847,0.0441,0.0576,0.4136,0.1017
Thames,V1,TEA,1 Tham TEA (Appleton),0.2647,0.0971,0.5088,0.0294,0.1000,0.3618,0.1294
Alvescot and Filkins,W3,GH,6 AlvF GH (Filkins),0.4340,0.0944,0.3648,0.0315,0.0755,0.5283,0.1070
Witney East,W42,JE2,2 WitE JE2 (Wit East 2),0.2797,0.0933,0.4690,0.0508,0.1073,0.3729,0.1582
Faringdon,V4,TGA,1 Far TGA (Faringdon),0.2350,0.0922,0.4608,0.0461,0.1659,0.3272,0.2120
"Hailey, Minster Lovell and Leafield",W29,GZ,7 HMLL GZ (Leafield),0.2682,0.0920,0.4981,0.0345,0.1073,0.3601,0.1418
Alvescot and Filkins,W2,GV,6 AlvF GV (Kencot),0.3636,0.0909,0.5000,0.0455,0.0000,0.4545,0.0455
Bampton and Clanfield,W12,FV,5 B&C FV (Clanfield),0.3781,0.0914,0.3841,0.0488,0.0976,0.4695,0.1464
Ascott and Shipton,W8,HD,6 A&S HD (Lyneham),0.3216,0.0905,0.5025,0.0251,0.0603,0.4121,0.0854
Thames,V10,TRB,1 Tham TRB (Tubney),0.3731,0.0896,0.4328,0.0597,0.0448,0.4627,0.1045
Burford,W18,JA,6 Bfd JA (Taynton),0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Brize Norton and Shilton,W15,HP,5 Briz HP (Shilton),0.3780,0.0854,0.3659,0.0854,0.0854,0.4634,0.1707
Thames,V9,TRA,1 Tham TRA (Buckland),0.4167,0.0833,0.4583,0.0208,0.0208,0.5000,0.0417
Alvescot and Filkins,W5,JC,6 AlvF JC (Westwell),0.4167,0.0833,0.2917,0.1250,0.0833,0.5000,0.2083
Witney Central,W39,JD2,2 WitC JD2 (Town Center),0.2538,0.0826,0.5076,0.0520,0.1040,0.3364,0.1560
Witney North,W46,JG,2 WitN JG (Wit North 1),0.2818,0.0818,0.5182,0.0227,0.0955,0.3636,0.1182
Kingston Bagpuize,V5,TKD,1 King TKD (Goosey),0.3673,0.0816,0.3061,0.0612,0.1837,0.4490,0.2449
"Hailey, Minster Lovell and Leafield",W31,HJ,7 HMLL HJ (Ramsden),0.4423,0.0770,0.3846,0.0192,0.0770,0.5192,0.0962
Ducklington,W26,GA,4 Duck GA (Curbridge),0.3571,0.0714,0.5000,0.0000,0.0714,0.4286,0.0714
Faringdon,V2,TGA,1 Far TGA (Faringdon),0.2553,0.0704,0.5281,0.0422,0.1039,0.3257,0.1461
Witney North,W47,JG,2 WitN JG (Wit North 1),0.2775,0.0694,0.5549,0.0520,0.0462,0.3468,0.0983
Alvescot and Filkins,W6,GU,6 AlvF GU (Kelmscott),0.3529,0.0588,0.5882,0.0000,0.0000,0.4118,0.0000
Ascott and Shipton,W7,FB,6 A&S FB (Ascott),0.4074,0.0593,0.4593,0.0296,0.0444,0.4667,0.0741
Brize Norton and Shilton,W13,FC,5 Briz FC (Asthal),0.2955,0.0227,0.5682,0.0455,0.0682,0.3182,0.1136
Milton-under-Wychwood,W33,GG,6 MiUW GG (Fifield),0.8215,0.0000,0.1071,0.0000,0.0714,0.8215,0.0714
